precinct,date,citation_issued
E,2013-01-01,11
E,2013-01-02,15
E,2013-01-03,5
E,2013-01-04,15
E,2013-01-05,9
E,2013-01-06,6
E,2013-01-07,10
E,2013-01-08,9
E,2013-01-09,12
E,2013-01-10,12
E,2013-01-11,4
E,2013-01-12,14
E,2013-01-13,14
E,2013-01-14,13
E,2013-01-15,12
E,2013-01-16,18
E,2013-01-17,15
E,2013-01-18,20
E,2013-01-19,9
E,2013-01-20,17
E,2013-01-21,7
E,2013-01-22,11
E,2013-01-23,18
E,2013-01-24,12
E,2013-01-25,17
E,2013-01-26,7
E,2013-01-27,7
E,2013-01-28,4
E,2013-01-29,5
E,2013-01-30,11
E,2013-01-31,13
E,2013-02-01,7
E,2013-02-02,6
E,2013-02-03,14
E,2013-02-04,6
E,2013-02-05,2
E,2013-02-06,9
E,2013-02-07,10
E,2013-02-08,12
E,2013-02-09,10
E,2013-02-10,19
E,2013-02-11,8
E,2013-02-12,15
E,2013-02-13,10
E,2013-02-14,11
E,2013-02-15,9
E,2013-02-16,18
E,2013-02-17,10
E,2013-02-18,6
E,2013-02-19,4
E,2013-02-20,6
E,2013-02-21,11
E,2013-02-22,9
E,2013-02-23,8
E,2013-02-24,3
E,2013-02-25,3
E,2013-02-26,8
E,2013-02-27,8
E,2013-02-28,14
E,2013-03-01,22
E,2013-03-02,19
E,2013-03-03,12
E,2013-03-04,6
E,2013-03-05,16
E,2013-03-06,9
E,2013-03-07,5
E,2013-03-08,15
E,2013-03-09,11
E,2013-03-10,7
E,2013-03-11,2
E,2013-03-12,7
E,2013-03-13,6
E,2013-03-14,9
E,2013-03-15,9
E,2013-03-16,10
E,2013-03-17,13
E,2013-03-18,11
E,2013-03-19,5
E,2013-03-20,8
E,2013-03-21,4
E,2013-03-22,4
E,2013-03-23,8
E,2013-03-24,8
E,2013-03-25,4
E,2013-03-26,4
E,2013-03-27,9
E,2013-03-28,9
E,2013-03-29,7
E,2013-03-30,10
E,2013-03-31,5
E,2013-04-01,9
E,2013-04-02,10
E,2013-04-03,4
E,2013-04-04,7
E,2013-04-05,13
E,2013-04-06,7
E,2013-04-07,6
E,2013-04-08,9
E,2013-04-09,6
E,2013-04-10,7
E,2013-04-11,7
E,2013-04-12,11
E,2013-04-13,9
E,2013-04-14,5
E,2013-04-15,7
E,2013-04-16,10
E,2013-04-17,7
E,2013-04-18,4
E,2013-04-19,3
E,2013-04-20,5
