officer_id_hash,date,time,citation_issued,precinct
0065f02af8,1,1900-01-01 07:00:00,1,E
0065f02af8,1,1900-01-01 10:00:00,1,E
0092ecd6fd,1,1900-01-01 10:00:00,1,W
0092ecd6fd,2,1900-01-01 11:00:00,2,W
0092ecd6fd,1,1900-01-01 15:00:00,1,W
0092ecd6fd,1,1900-01-01 16:00:00,1,W
016606d685,46,1900-01-01 00:00:00,46,SW
016606d685,29,1900-01-01 01:00:00,29,SW
016606d685,12,1900-01-01 02:00:00,12,SW
016606d685,2,1900-01-01 03:00:00,2,SW
016606d685,1,1900-01-01 16:00:00,1,SW
016606d685,2,1900-01-01 17:00:00,2,SW
016606d685,1,1900-01-01 18:00:00,1,SW
016606d685,100,1900-01-01 20:00:00,100,SW
016606d685,100,1900-01-01 21:00:00,100,SW
016606d685,69,1900-01-01 22:00:00,69,SW
016606d685,43,1900-01-01 23:00:00,43,SW
01dafbd11b,2,1900-01-01 16:00:00,2,E
02348f8e11,1,1900-01-01 11:00:00,1,S
02348f8e11,1,1900-01-01 14:00:00,1,S
027623e92a,1,1900-01-01 00:00:00,1,W
027623e92a,1,1900-01-01 02:00:00,1,W
027623e92a,14,1900-01-01 04:00:00,14,W
027623e92a,4,1900-01-01 05:00:00,4,W
027623e92a,11,1900-01-01 06:00:00,11,W
027623e92a,9,1900-01-01 07:00:00,9,W
027623e92a,13,1900-01-01 08:00:00,13,W
027623e92a,12,1900-01-01 09:00:00,12,W
027623e92a,8,1900-01-01 10:00:00,8,W
027623e92a,4,1900-01-01 11:00:00,4,W
027623e92a,2,1900-01-01 21:00:00,2,W
02998977e3,6,1900-01-01 00:00:00,6,N
02998977e3,4,1900-01-01 01:00:00,4,N
02998977e3,5,1900-01-01 02:00:00,5,N
02998977e3,8,1900-01-01 20:00:00,8,N
02998977e3,7,1900-01-01 21:00:00,7,N
02998977e3,12,1900-01-01 22:00:00,12,N
02998977e3,8,1900-01-01 23:00:00,8,N
02a53b6b16,7,1900-01-01 00:00:00,7,W
02a53b6b16,7,1900-01-01 01:00:00,7,W
02a53b6b16,3,1900-01-01 02:00:00,3,W
02a53b6b16,1,1900-01-01 16:00:00,1,W
02a53b6b16,1,1900-01-01 17:00:00,1,W
02a53b6b16,2,1900-01-01 19:00:00,2,W
02a53b6b16,4,1900-01-01 20:00:00,4,W
02a53b6b16,8,1900-01-01 21:00:00,8,W
02a53b6b16,5,1900-01-01 22:00:00,5,W
02a53b6b16,3,1900-01-01 23:00:00,3,W
030b8096b3,2,1900-01-01 11:00:00,2,N
030b8096b3,3,1900-01-01 12:00:00,3,N
030b8096b3,2,1900-01-01 13:00:00,2,N
030b8096b3,2,1900-01-01 14:00:00,2,N
030b8096b3,3,1900-01-01 15:00:00,3,N
030b8096b3,3,1900-01-01 17:00:00,3,N
030b8096b3,1,1900-01-01 18:00:00,1,N
0366d6364e,1,1900-01-01 00:00:00,1,SW
0366d6364e,2,1900-01-01 01:00:00,2,SW
0366d6364e,1,1900-01-01 02:00:00,1,SW
0366d6364e,1,1900-01-01 16:00:00,1,SW
0366d6364e,3,1900-01-01 19:00:00,3,SW
0366d6364e,3,1900-01-01 21:00:00,3,SW
0366d6364e,3,1900-01-01 22:00:00,3,SW
0366d6364e,2,1900-01-01 23:00:00,2,SW
03ca5504a2,1,1900-01-01 01:00:00,1,N
03ca5504a2,1,1900-01-01 02:00:00,1,N
03ca5504a2,1,1900-01-01 17:00:00,1,N
03ca5504a2,1,1900-01-01 22:00:00,1,N
03ca5504a2,2,1900-01-01 23:00:00,2,N
03ead91ecd,5,1900-01-01 12:00:00,5,E
03ead91ecd,6,1900-01-01 13:00:00,6,E
03ead91ecd,2,1900-01-01 14:00:00,2,E
03ead91ecd,4,1900-01-01 15:00:00,4,E
03ead91ecd,2,1900-01-01 16:00:00,2,E
03ead91ecd,2,1900-01-01 17:00:00,2,E
03ead91ecd,1,1900-01-01 18:00:00,1,E
03fd426a65,1,1900-01-01 13:00:00,1,S
03fd426a65,1,1900-01-01 14:00:00,1,S
03fd426a65,1,1900-01-01 15:00:00,1,S
03fd426a65,1,1900-01-01 17:00:00,1,S
0405a568ff,1,1900-01-01 20:00:00,1,W
0405a568ff,2,1900-01-01 22:00:00,2,W
040dc80825,1,1900-01-01 00:00:00,1,E
040dc80825,1,1900-01-01 15:00:00,1,E
0457f7f209,1,1900-01-01 16:00:00,1,S
0457f7f209,1,1900-01-01 21:00:00,1,S
04798fc8ca,1,1900-01-01 11:00:00,1,SW
04798fc8ca,4,1900-01-01 12:00:00,4,SW
04798fc8ca,4,1900-01-01 13:00:00,4,SW
04798fc8ca,3,1900-01-01 14:00:00,3,SW
04798fc8ca,3,1900-01-01 15:00:00,3,SW
04798fc8ca,6,1900-01-01 16:00:00,6,SW
04798fc8ca,10,1900-01-01 17:00:00,10,SW
04798fc8ca,4,1900-01-01 18:00:00,4,SW
04798fc8ca,1,1900-01-01 19:00:00,1,SW
04798fc8ca,1,1900-01-01 20:00:00,1,SW
04798fc8ca,5,1900-01-01 21:00:00,5,SW
04798fc8ca,5,1900-01-01 22:00:00,5,SW
048c4faff6,2,1900-01-01 13:00:00,2,N
048c4faff6,1,1900-01-01 14:00:00,1,N
048c4faff6,3,1900-01-01 15:00:00,3,N
048c4faff6,3,1900-01-01 17:00:00,3,N
049f6613a5,11,1900-01-01 00:00:00,11,S
049f6613a5,12,1900-01-01 01:00:00,12,S
049f6613a5,3,1900-01-01 02:00:00,3,S
049f6613a5,1,1900-01-01 03:00:00,1,S
049f6613a5,2,1900-01-01 04:00:00,2,S
049f6613a5,3,1900-01-01 19:00:00,3,S
049f6613a5,8,1900-01-01 20:00:00,8,S
049f6613a5,6,1900-01-01 21:00:00,6,S
049f6613a5,11,1900-01-01 22:00:00,11,S
049f6613a5,16,1900-01-01 23:00:00,16,S
04c7c62ef4,2,1900-01-01 00:00:00,2,N
04c7c62ef4,1,1900-01-01 01:00:00,1,N
04c7c62ef4,1,1900-01-01 02:00:00,1,N
04c7c62ef4,5,1900-01-01 03:00:00,5,N
04c7c62ef4,3,1900-01-01 04:00:00,3,N
04c7c62ef4,2,1900-01-01 05:00:00,2,N
04c7c62ef4,1,1900-01-01 06:00:00,1,N
04c7c62ef4,2,1900-01-01 07:00:00,2,N
04c7c62ef4,3,1900-01-01 08:00:00,3,N
04c7c62ef4,10,1900-01-01 09:00:00,10,N
04c7c62ef4,8,1900-01-01 10:00:00,8,N
04c7c62ef4,1,1900-01-01 14:00:00,1,N
04c7c62ef4,1,1900-01-01 16:00:00,1,N
04c7c62ef4,2,1900-01-01 18:00:00,2,N
04c7c62ef4,1,1900-01-01 19:00:00,1,N
04c7c62ef4,6,1900-01-01 20:00:00,6,N
04c7c62ef4,3,1900-01-01 21:00:00,3,N
04c7c62ef4,5,1900-01-01 22:00:00,5,N
04c7c62ef4,5,1900-01-01 23:00:00,5,N
04f587168d,1,1900-01-01 09:00:00,1,E
04f587168d,2,1900-01-01 11:00:00,2,E
04f587168d,1,1900-01-01 14:00:00,1,E
04f587168d,1,1900-01-01 15:00:00,1,E
04f587168d,1,1900-01-01 16:00:00,1,E
058cf1e2eb,1,1900-01-01 12:00:00,1,S
058cf1e2eb,1,1900-01-01 13:00:00,1,S
05fa96bc13,36,1900-01-01 00:00:00,36,N
05fa96bc13,11,1900-01-01 01:00:00,11,N
05fa96bc13,13,1900-01-01 02:00:00,13,N
05fa96bc13,1,1900-01-01 18:00:00,1,N
05fa96bc13,5,1900-01-01 19:00:00,5,N
05fa96bc13,26,1900-01-01 20:00:00,26,N
05fa96bc13,26,1900-01-01 21:00:00,26,N
05fa96bc13,24,1900-01-01 22:00:00,24,N
05fa96bc13,24,1900-01-01 23:00:00,24,N
0605b16fe4,1,1900-01-01 00:00:00,1,W
0605b16fe4,1,1900-01-01 05:00:00,1,W
0605b16fe4,10,1900-01-01 11:00:00,10,W
0605b16fe4,12,1900-01-01 12:00:00,12,W
0605b16fe4,16,1900-01-01 13:00:00,16,W
0605b16fe4,13,1900-01-01 14:00:00,13,W
0605b16fe4,18,1900-01-01 15:00:00,18,W
0605b16fe4,12,1900-01-01 16:00:00,12,W
0605b16fe4,24,1900-01-01 17:00:00,24,W
0605b16fe4,17,1900-01-01 18:00:00,17,W
0605b16fe4,1,1900-01-01 19:00:00,1,W
063ddff7b0,1,1900-01-01 16:00:00,1,SW
0689ecefd0,2,1900-01-01 10:00:00,2,N
0689ecefd0,1,1900-01-01 11:00:00,1,N
0689ecefd0,1,1900-01-01 16:00:00,1,N
0689ecefd0,1,1900-01-01 17:00:00,1,N
06cbb780f1,47,1900-01-01 00:00:00,47,S
06cbb780f1,44,1900-01-01 01:00:00,44,S
06cbb780f1,21,1900-01-01 02:00:00,21,S
