precinct,date,citation_issued
E,2013-01-31,352
E,2013-02-28,256
E,2013-03-31,274
E,2013-04-30,218
E,2013-05-31,275
E,2013-06-30,269
E,2013-07-31,221
E,2013-08-31,287
E,2013-09-30,268
E,2013-10-31,259
E,2013-11-30,327
E,2013-12-31,403
E,2014-01-31,402
E,2014-02-28,249
E,2014-03-31,267
E,2014-04-30,253
E,2014-05-31,275
E,2014-06-30,280
E,2014-07-31,283
E,2014-08-31,264
E,2014-09-30,233
E,2014-10-31,318
E,2014-11-30,269
E,2014-12-31,292
E,2015-01-31,553
E,2015-02-28,386
E,2015-03-31,405
E,2015-04-30,364
E,2015-05-31,311
E,2015-06-30,317
E,2015-07-31,334
E,2015-08-31,452
E,2015-09-30,339
E,2015-10-31,468
E,2015-11-30,321
E,2015-12-31,325
N,2013-01-31,240
N,2013-02-28,196
N,2013-03-31,213
N,2013-04-30,178
N,2013-05-31,202
N,2013-06-30,247
N,2013-07-31,258
N,2013-08-31,259
N,2013-09-30,211
N,2013-10-31,214
N,2013-11-30,224
N,2013-12-31,253
N,2014-01-31,282
N,2014-02-28,209
N,2014-03-31,202
N,2014-04-30,178
N,2014-05-31,195
N,2014-06-30,192
N,2014-07-31,164
N,2014-08-31,120
N,2014-09-30,160
N,2014-10-31,167
N,2014-11-30,207
N,2014-12-31,138
N,2015-01-31,325
N,2015-02-28,288
N,2015-03-31,289
N,2015-04-30,259
N,2015-05-31,237
N,2015-06-30,126
N,2015-07-31,111
N,2015-08-31,142
N,2015-09-30,176
N,2015-10-31,168
N,2015-11-30,128
N,2015-12-31,125
S,2013-01-31,456
S,2013-02-28,401
S,2013-03-31,484
S,2013-04-30,372
S,2013-05-31,374
S,2013-06-30,364
S,2013-07-31,398
S,2013-08-31,333
S,2013-09-30,292
S,2013-10-31,482
S,2013-11-30,332
S,2013-12-31,276
S,2014-01-31,247
S,2014-02-28,168
S,2014-03-31,213
S,2014-04-30,218
S,2014-05-31,310
S,2014-06-30,367
S,2014-07-31,373
S,2014-08-31,281
S,2014-09-30,259
S,2014-10-31,333
S,2014-11-30,380
S,2014-12-31,307
S,2015-01-31,387
S,2015-02-28,308
S,2015-03-31,433
S,2015-04-30,317
S,2015-05-31,296
S,2015-06-30,279
S,2015-07-31,319
S,2015-08-31,248
S,2015-09-30,273
S,2015-10-31,319
S,2015-11-30,414
S,2015-12-31,397
SW,2013-01-31,161
SW,2013-02-28,99
SW,2013-03-31,133
SW,2013-04-30,137
SW,2013-05-31,134
SW,2013-06-30,144
SW,2013-07-31,153
SW,2013-08-31,216
SW,2013-09-30,165
SW,2013-10-31,166
SW,2013-11-30,163
SW,2013-12-31,121
SW,2014-01-31,116
SW,2014-02-28,92
SW,2014-03-31,105
SW,2014-04-30,109
SW,2014-05-31,131
SW,2014-06-30,148
SW,2014-07-31,172
SW,2014-08-31,156
SW,2014-09-30,153
SW,2014-10-31,142
SW,2014-11-30,94
SW,2014-12-31,82
SW,2015-01-31,116
SW,2015-02-28,110
SW,2015-03-31,141
SW,2015-04-30,82
SW,2015-05-31,77
SW,2015-06-30,82
SW,2015-07-31,71
SW,2015-08-31,79
SW,2015-09-30,75
SW,2015-10-31,112
SW,2015-11-30,97
SW,2015-12-31,95
W,2013-01-31,327
W,2013-02-28,410
W,2013-03-31,335
W,2013-04-30,365
W,2013-05-31,389
W,2013-06-30,439
W,2013-07-31,453
W,2013-08-31,359
W,2013-09-30,442
W,2013-10-31,517
W,2013-11-30,528
W,2013-12-31,457
W,2014-01-31,409
W,2014-02-28,408
W,2014-03-31,501
W,2014-04-30,357
W,2014-05-31,430
W,2014-06-30,428
W,2014-07-31,426
W,2014-08-31,366
W,2014-09-30,392
W,2014-10-31,386
W,2014-11-30,518
W,2014-12-31,252
W,2015-01-31,564
W,2015-02-28,435
W,2015-03-31,434
W,2015-04-30,478
W,2015-05-31,437
W,2015-06-30,518
W,2015-07-31,489
W,2015-08-31,419
W,2015-09-30,636
W,2015-10-31,617
W,2015-11-30,637
W,2015-12-31,569
