officer_id_hash,date,citation_issued,precinct
0065f02af8,2014-10-31,1,E
0065f02af8,2015-08-31,1,E
0092ecd6fd,2013-01-31,1,W
0092ecd6fd,2013-10-31,1,W
0092ecd6fd,2014-01-31,1,W
0092ecd6fd,2014-04-30,1,W
0092ecd6fd,2014-11-30,1,W
016606d685,2013-01-31,16,SW
016606d685,2013-02-28,4,SW
016606d685,2013-03-31,9,SW
016606d685,2013-04-30,3,SW
016606d685,2013-05-31,17,SW
016606d685,2013-06-30,8,SW
016606d685,2013-07-31,3,SW
016606d685,2013-08-31,15,SW
016606d685,2013-09-30,4,SW
016606d685,2013-10-31,9,SW
016606d685,2013-11-30,11,SW
016606d685,2013-12-31,9,SW
016606d685,2014-01-31,12,SW
016606d685,2014-02-28,13,SW
016606d685,2014-03-31,17,SW
016606d685,2014-04-30,13,SW
016606d685,2014-05-31,11,SW
016606d685,2014-06-30,14,SW
016606d685,2014-07-31,14,SW
016606d685,2014-08-31,5,SW
016606d685,2014-09-30,2,SW
016606d685,2014-10-31,10,SW
016606d685,2014-11-30,17,SW
016606d685,2014-12-31,7,SW
016606d685,2015-01-31,24,SW
016606d685,2015-02-28,30,SW
016606d685,2015-03-31,18,SW
016606d685,2015-04-30,9,SW
016606d685,2015-05-31,14,SW
016606d685,2015-06-30,6,SW
016606d685,2015-07-31,4,SW
016606d685,2015-08-31,10,SW
016606d685,2015-09-30,15,SW
016606d685,2015-10-31,15,SW
016606d685,2015-11-30,17,SW
01dafbd11b,2013-12-31,1,E
01dafbd11b,2014-01-31,1,E
02348f8e11,2013-07-31,1,S
02348f8e11,2015-04-30,1,S
027623e92a,2013-01-31,5,W
027623e92a,2013-02-28,6,W
027623e92a,2013-03-31,3,W
027623e92a,2013-04-30,5,W
027623e92a,2013-05-31,4,W
027623e92a,2013-06-30,2,W
027623e92a,2013-07-31,3,W
027623e92a,2013-08-31,3,W
027623e92a,2013-09-30,3,W
027623e92a,2013-10-31,4,W
027623e92a,2013-11-30,8,W
027623e92a,2013-12-31,2,W
027623e92a,2014-01-31,2,W
027623e92a,2014-02-28,2,W
027623e92a,2014-03-31,2,W
027623e92a,2014-04-30,1,W
