officer_id_hash,date,citation_issued,precinct
0065f02af8,2014-10-20,1,E
0065f02af8,2015-08-24,1,E
0092ecd6fd,2013-01-28,1,W
0092ecd6fd,2013-10-28,1,W
0092ecd6fd,2014-01-20,1,W
0092ecd6fd,2014-04-07,1,W
0092ecd6fd,2014-11-10,1,W
016606d685,2013-01-07,3,SW
016606d685,2013-01-14,5,SW
016606d685,2013-01-21,6,SW
016606d685,2013-01-28,1,SW
016606d685,2013-02-04,2,SW
016606d685,2013-02-18,1,SW
016606d685,2013-02-25,2,SW
016606d685,2013-03-04,3,SW
016606d685,2013-03-11,1,SW
016606d685,2013-03-18,5,SW
016606d685,2013-04-15,1,SW
016606d685,2013-05-06,3,SW
016606d685,2013-05-13,3,SW
016606d685,2013-05-20,6,SW
016606d685,2013-05-27,3,SW
016606d685,2013-06-03,4,SW
016606d685,2013-06-10,4,SW
016606d685,2013-06-17,1,SW
016606d685,2013-06-24,3,SW
016606d685,2013-07-15,2,SW
016606d685,2013-07-22,1,SW
016606d685,2013-08-12,5,SW
016606d685,2013-08-19,4,SW
016606d685,2013-08-26,3,SW
016606d685,2013-09-02,4,SW
016606d685,2013-09-09,2,SW
016606d685,2013-09-30,1,SW
016606d685,2013-10-07,1,SW
016606d685,2013-10-14,1,SW
016606d685,2013-10-21,2,SW
016606d685,2013-10-28,4,SW
016606d685,2013-11-04,3,SW
016606d685,2013-11-11,4,SW
016606d685,2013-11-18,1,SW
016606d685,2013-11-25,2,SW
016606d685,2013-12-02,4,SW
016606d685,2013-12-09,5,SW
016606d685,2013-12-16,1,SW
016606d685,2014-01-06,2,SW
016606d685,2014-01-13,3,SW
016606d685,2014-01-20,5,SW
016606d685,2014-01-27,3,SW
016606d685,2014-02-10,1,SW
016606d685,2014-02-17,8,SW
016606d685,2014-02-24,2,SW
016606d685,2014-03-03,5,SW
016606d685,2014-03-10,6,SW
016606d685,2014-03-17,5,SW
016606d685,2014-03-24,1,SW
016606d685,2014-03-31,2,SW
016606d685,2014-04-07,1,SW
016606d685,2014-04-14,4,SW
016606d685,2014-04-21,6,SW
016606d685,2014-04-28,1,SW
016606d685,2014-05-05,1,SW
016606d685,2014-05-12,2,SW
016606d685,2014-05-19,8,SW
016606d685,2014-05-26,1,SW
016606d685,2014-06-16,1,SW
016606d685,2014-06-23,9,SW
016606d685,2014-06-30,4,SW
016606d685,2014-07-07,6,SW
016606d685,2014-07-14,2,SW
016606d685,2014-07-21,4,SW
016606d685,2014-08-04,4,SW
016606d685,2014-08-11,1,SW
016606d685,2014-08-18,2,SW
016606d685,2014-09-15,1,SW
016606d685,2014-09-29,1,SW
016606d685,2014-10-06,2,SW
016606d685,2014-10-13,2,SW
016606d685,2014-10-20,1,SW
016606d685,2014-10-27,1,SW
016606d685,2014-11-03,6,SW
016606d685,2014-11-10,8,SW
016606d685,2014-11-17,5,SW
016606d685,2014-12-01,3,SW
016606d685,2014-12-08,3,SW
016606d685,2014-12-15,3,SW
016606d685,2015-01-05,6,SW
016606d685,2015-01-12,5,SW
016606d685,2015-01-19,3,SW
016606d685,2015-01-26,8,SW
016606d685,2015-02-02,3,SW
016606d685,2015-02-09,6,SW
016606d685,2015-02-16,9,SW
016606d685,2015-02-23,9,SW
016606d685,2015-03-02,8,SW
016606d685,2015-03-09,10,SW
016606d685,2015-03-16,5,SW
016606d685,2015-04-06,4,SW
016606d685,2015-04-13,2,SW
016606d685,2015-04-20,2,SW
016606d685,2015-04-27,1,SW
016606d685,2015-05-11,4,SW
016606d685,2015-05-18,2,SW
016606d685,2015-05-25,5,SW
016606d685,2015-06-01,3,SW
016606d685,2015-06-08,2,SW
016606d685,2015-06-22,3,SW
016606d685,2015-06-29,1,SW
016606d685,2015-07-06,1,SW
016606d685,2015-07-13,2,SW
016606d685,2015-07-20,1,SW
016606d685,2015-08-10,7,SW
016606d685,2015-08-17,3,SW
016606d685,2015-09-07,5,SW
016606d685,2015-09-14,3,SW
016606d685,2015-09-21,2,SW
016606d685,2015-09-28,2,SW
016606d685,2015-10-05,4,SW
016606d685,2015-10-12,7,SW
016606d685,2015-10-19,3,SW
016606d685,2015-10-26,2,SW
016606d685,2015-11-02,5,SW
016606d685,2015-11-09,3,SW
016606d685,2015-11-16,5,SW
016606d685,2015-11-23,6,SW
01dafbd11b,2013-12-09,1,E
01dafbd11b,2014-01-13,1,E
02348f8e11,2013-07-22,1,S
02348f8e11,2015-04-06,1,S
027623e92a,2013-01-07,1,W
027623e92a,2013-01-14,3,W
027623e92a,2013-01-28,1,W
027623e92a,2013-02-11,3,W
027623e92a,2013-02-18,2,W
027623e92a,2013-03-04,2,W
027623e92a,2013-03-11,1,W
027623e92a,2013-04-01,1,W
027623e92a,2013-04-15,3,W
027623e92a,2013-04-22,1,W
027623e92a,2013-04-29,1,W
027623e92a,2013-05-13,1,W
027623e92a,2013-05-27,1,W
027623e92a,2013-06-03,2,W
027623e92a,2013-06-10,1,W
027623e92a,2013-06-24,1,W
027623e92a,2013-07-01,1,W
027623e92a,2013-07-29,2,W
027623e92a,2013-08-05,1,W
027623e92a,2013-08-26,1,W
027623e92a,2013-09-02,2,W
027623e92a,2013-09-09,1,W
027623e92a,2013-09-30,1,W
027623e92a,2013-10-07,1,W
027623e92a,2013-10-14,1,W
027623e92a,2013-10-28,2,W
027623e92a,2013-11-04,1,W
027623e92a,2013-11-11,1,W
027623e92a,2013-11-18,1,W
027623e92a,2013-11-25,5,W
027623e92a,2013-12-16,1,W
027623e92a,2013-12-30,1,W
027623e92a,2014-01-27,2,W
027623e92a,2014-02-10,1,W
027623e92a,2014-02-24,1,W
027623e92a,2014-03-17,1,W
027623e92a,2014-03-31,1,W
027623e92a,2014-04-07,1,W
027623e92a,2014-05-19,1,W
027623e92a,2014-05-26,1,W
027623e92a,2014-06-02,1,W
027623e92a,2014-06-16,2,W
027623e92a,2014-06-23,1,W
027623e92a,2014-07-28,1,W
027623e92a,2014-08-11,1,W
027623e92a,2014-08-25,1,W
027623e92a,2014-09-01,1,W
027623e92a,2014-10-06,2,W
027623e92a,2014-10-13,1,W
027623e92a,2014-10-27,2,W
027623e92a,2014-11-03,1,W
027623e92a,2014-11-17,1,W
027623e92a,2015-05-04,1,W
027623e92a,2015-06-08,2,W
027623e92a,2015-09-07,1,W
027623e92a,2015-11-02,1,W
027623e92a,2015-11-09,1,W
027623e92a,2015-11-23,1,W
02998977e3,2014-06-02,1,N
02998977e3,2014-06-16,1,N
02998977e3,2014-06-30,2,N
02998977e3,2014-07-14,1,N
02998977e3,2014-07-21,2,N
02998977e3,2014-08-04,2,N
02998977e3,2014-09-15,1,N
02998977e3,2014-10-06,1,N
02998977e3,2014-10-27,1,N
02998977e3,2014-11-03,1,N
02998977e3,2014-11-17,1,N
02998977e3,2014-11-24,1,N
02998977e3,2014-12-08,1,N
02998977e3,2014-12-29,1,N
02998977e3,2015-01-05,1,N
02998977e3,2015-01-12,1,N
02998977e3,2015-01-19,1,N
02998977e3,2015-01-26,3,N
02998977e3,2015-02-02,2,N
02998977e3,2015-02-09,2,N
02998977e3,2015-02-16,2,N
02998977e3,2015-03-09,2,N
02998977e3,2015-03-23,2,N
02998977e3,2015-03-30,3,N
02998977e3,2015-04-13,1,N
02998977e3,2015-04-20,1,N
02998977e3,2015-06-01,1,N
02998977e3,2015-06-08,1,N
02998977e3,2015-06-15,1,N
02998977e3,2015-06-29,1,N
02998977e3,2015-08-03,2,N
02998977e3,2015-09-21,1,N
02998977e3,2015-09-28,1,N
02998977e3,2015-10-12,1,N
02998977e3,2015-10-26,1,N
02998977e3,2015-11-23,1,N
02998977e3,2016-01-04,1,N
02a53b6b16,2014-06-02,1,W
02a53b6b16,2014-06-16,1,W
02a53b6b16,2014-07-07,1,W
02a53b6b16,2014-07-14,1,W
02a53b6b16,2014-09-29,2,W
02a53b6b16,2014-10-20,1,W
02a53b6b16,2014-12-01,1,W
02a53b6b16,2014-12-29,1,W
02a53b6b16,2015-01-05,1,W
02a53b6b16,2015-01-12,1,W
02a53b6b16,2015-01-26,2,W
